trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.9, 'e': 0.8709999999999999}",20,5,-22.311719164426393,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
44,False,"{'a': 0.9, 'e': 0.8679999999999999}",25,7,-86.48530288918866,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 1}",1
45,False,"{'a': 0.9, 'e': 0.8649999999999999}",30,0,-41.58250413421764,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.8619999999999999}",20,0,-91.47978423968195,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
47,False,"{'a': 0.9, 'e': 0.8589999999999999}",20,0,-71.16140901756745,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.9, 'e': 0.8559999999999999}",35,0,-190.54056581050384,"{0: 25, 1: 0, 2: 4, 3: 3, 4: 3}",0
49,False,"{'a': 0.9, 'e': 0.8529999999999999}",20,0,-44.98139294121247,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
50,False,"{'a': 0.9, 'e': 0.8499999999999999}",25,14,-59.237773739077326,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 1}",1
51,False,"{'a': 0.9, 'e': 0.8469999999999999}",25,0,-118.80746618807883,"{0: 17, 1: 4, 2: 0, 3: 2, 4: 2}",0
52,False,"{'a': 0.9, 'e': 0.8439999999999999}",25,0,-89.5392791919812,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
53,False,"{'a': 0.9, 'e': 0.8409999999999999}",25,0,-71.65982370511641,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.9, 'e': 0.8379999999999999}",25,0,-77.89652872493446,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.9, 'e': 0.8349999999999999}",20,0,-138.73176538275283,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
56,False,"{'a': 0.9, 'e': 0.8319999999999999}",20,13,-22.621236014880942,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
57,False,"{'a': 0.9, 'e': 0.8289999999999998}",35,0,-166.76835785371705,"{0: 22, 1: 2, 2: 8, 3: 1, 4: 2}",0
58,False,"{'a': 0.9, 'e': 0.8259999999999998}",30,0,-139.984970094182,"{0: 17, 1: 1, 2: 11, 3: 0, 4: 1}",0
