trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.9, 'e': 0.4509999999999995}",30,0,-55.305967593517046,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
184,False,"{'a': 0.9, 'e': 0.4479999999999995}",25,0,-50.97987129240596,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
185,False,"{'a': 0.9, 'e': 0.4449999999999995}",20,7,-58.571892901352456,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
186,False,"{'a': 0.9, 'e': 0.4419999999999995}",25,0,-66.46182306269569,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
187,False,"{'a': 0.9, 'e': 0.4389999999999995}",25,0,4.478940103643609,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
188,False,"{'a': 0.9, 'e': 0.4359999999999995}",30,8,16.642873946101428,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9, 'e': 0.4329999999999995}",30,0,-174.74782565454342,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
190,False,"{'a': 0.9, 'e': 0.4299999999999995}",30,8,-54.27585622311005,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
191,False,"{'a': 0.9, 'e': 0.4269999999999995}",25,11,19.189062170677783,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9, 'e': 0.4239999999999995}",25,7,-44.99377975708193,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
193,False,"{'a': 0.9, 'e': 0.4209999999999995}",35,0,-23.620000735802225,"{0: 28, 1: 3, 2: 4, 3: 0, 4: 0}",1
194,False,"{'a': 0.9, 'e': 0.4179999999999995}",20,5,-14.855066327208787,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
195,False,"{'a': 0.9, 'e': 0.4149999999999995}",25,0,-112.72621262684224,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
196,False,"{'a': 0.9, 'e': 0.4119999999999995}",20,5,-28.030372227227804,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
197,False,"{'a': 0.9, 'e': 0.4089999999999995}",25,0,-89.48689813542144,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
198,False,"{'a': 0.9, 'e': 0.4059999999999995}",20,1,-26.029960956474817,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
199,False,"{'a': 0.9, 'e': 0.40299999999999947}",25,0,-35.888440297835366,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
200,False,"{'a': 0.9, 'e': 0.39999999999999947}",20,0,12.964702744311529,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
201,False,"{'a': 0.9, 'e': 0.39699999999999946}",25,0,-60.952825205854325,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
202,False,"{'a': 0.9, 'e': 0.39399999999999946}",20,2,-20.670875233380784,"{0: 13, 1: 4, 2: 0, 3: 1, 4: 0}",1
203,False,"{'a': 0.9, 'e': 0.39099999999999946}",20,8,19.89436254599749,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.9, 'e': 0.38799999999999946}",20,15,-33.76014886672384,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
205,False,"{'a': 0.9, 'e': 0.38499999999999945}",20,0,-73.94686280529567,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
206,False,"{'a': 0.9, 'e': 0.38199999999999945}",25,9,6.212643015177476,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
207,False,"{'a': 0.9, 'e': 0.37899999999999945}",20,0,12.853491215535847,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
208,False,"{'a': 0.9, 'e': 0.37599999999999945}",20,7,-62.37167919814921,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 1}",1
209,False,"{'a': 0.9, 'e': 0.37299999999999944}",30,0,20.94613365314006,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
210,False,"{'a': 0.9, 'e': 0.36999999999999944}",25,0,-97.24507215985989,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
211,False,"{'a': 0.9, 'e': 0.36699999999999944}",20,8,9.84534808022062,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.9, 'e': 0.36399999999999944}",30,0,-6.122985604529022,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
213,False,"{'a': 0.9, 'e': 0.36099999999999943}",30,16,20.853398784066115,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.9, 'e': 0.35799999999999943}",35,0,-14.892843861142394,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
215,False,"{'a': 0.9, 'e': 0.3549999999999994}",20,3,-51.83872266542875,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 0}",1
216,False,"{'a': 0.9, 'e': 0.3519999999999994}",25,0,-72.61259593339425,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
217,False,"{'a': 0.9, 'e': 0.3489999999999994}",30,0,13.204512245630834,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
218,False,"{'a': 0.9, 'e': 0.3459999999999994}",30,10,-24.90375412796848,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",1
219,False,"{'a': 0.9, 'e': 0.3429999999999994}",25,17,12.415976539044205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.9, 'e': 0.3399999999999994}",20,0,-76.46338474343756,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
221,False,"{'a': 0.9, 'e': 0.3369999999999994}",30,0,-39.535880787749925,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
222,False,"{'a': 0.9, 'e': 0.3339999999999994}",30,0,-82.08900584003436,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
223,False,"{'a': 0.9, 'e': 0.3309999999999994}",20,15,-3.358675386574803,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.9, 'e': 0.3279999999999994}",20,0,7.0582190244130665,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
225,False,"{'a': 0.9, 'e': 0.3249999999999994}",20,4,-11.60112202688109,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
226,False,"{'a': 0.9, 'e': 0.3219999999999994}",30,0,-43.84283990823915,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
227,False,"{'a': 0.9, 'e': 0.3189999999999994}",20,2,-18.398069298909654,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
228,False,"{'a': 0.9, 'e': 0.3159999999999994}",25,0,-70.9987538181286,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
229,False,"{'a': 0.9, 'e': 0.3129999999999994}",20,10,-28.308383469552624,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
230,False,"{'a': 0.9, 'e': 0.3099999999999994}",25,0,-52.868954551510875,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
231,False,"{'a': 0.9, 'e': 0.3069999999999994}",25,6,-42.17134057993538,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
232,False,"{'a': 0.9, 'e': 0.3039999999999994}",20,8,-2.08733734713757,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
233,False,"{'a': 0.9, 'e': 0.3009999999999994}",25,20,8.997337240134232,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.9, 'e': 0.2979999999999994}",25,0,36.29044818745818,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
235,False,"{'a': 0.9, 'e': 0.2949999999999994}",20,8,-4.169934322942799,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 0.29199999999999937}",30,0,-73.20922834509066,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",1
237,False,"{'a': 0.9, 'e': 0.28899999999999937}",25,0,-42.96060793117032,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
238,False,"{'a': 0.9, 'e': 0.28599999999999937}",20,0,-71.10687774194342,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
239,False,"{'a': 0.9, 'e': 0.28299999999999936}",20,4,26.78838300115815,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.9, 'e': 0.27999999999999936}",25,11,-10.06152722005081,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
241,False,"{'a': 0.9, 'e': 0.27699999999999936}",20,8,18.549007309702375,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.9, 'e': 0.27399999999999936}",25,12,19.33650624901258,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9, 'e': 0.27099999999999935}",25,0,-11.385792376831684,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
244,False,"{'a': 0.9, 'e': 0.26799999999999935}",25,0,-103.179207478479,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
245,False,"{'a': 0.9, 'e': 0.26499999999999935}",20,9,16.982377903709143,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.9, 'e': 0.26199999999999934}",20,11,-38.766290376196146,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
247,False,"{'a': 0.9, 'e': 0.25899999999999934}",25,12,26.043757053879954,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.25599999999999934}",20,4,25.563116414146084,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.25299999999999934}",20,5,23.379856883561608,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.9, 'e': 0.24999999999999933}",30,4,35.4840211276162,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.9, 'e': 0.24699999999999933}",30,0,35.99412538629397,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.9, 'e': 0.24399999999999933}",20,4,22.938586608756435,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.9, 'e': 0.24099999999999933}",20,4,2.753298687943829,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
254,False,"{'a': 0.9, 'e': 0.23799999999999932}",30,12,13.453617283432976,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.9, 'e': 0.23499999999999932}",20,14,-31.62959751358954,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
256,False,"{'a': 0.9, 'e': 0.23199999999999932}",20,6,20.699037294620005,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.9, 'e': 0.22899999999999932}",20,0,-24.297738949375294,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
258,False,"{'a': 0.9, 'e': 0.2259999999999993}",20,12,13.759350953975204,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.9, 'e': 0.2229999999999993}",30,16,-0.8580151688690543,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
260,False,"{'a': 0.9, 'e': 0.2199999999999993}",25,0,21.496409931404724,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
261,False,"{'a': 0.9, 'e': 0.2169999999999993}",20,0,22.407078382537748,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.9, 'e': 0.2139999999999993}",35,27,14.931126151339999,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.9, 'e': 0.2109999999999993}",25,10,26.29971521918175,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.9, 'e': 0.2079999999999993}",35,9,27.698175798052585,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.9, 'e': 0.2049999999999993}",20,0,25.51718915960796,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
266,False,"{'a': 0.9, 'e': 0.2019999999999993}",25,0,30.057659605297502,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
267,False,"{'a': 0.9, 'e': 0.1989999999999993}",20,0,9.948947147142068,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
268,False,"{'a': 0.9, 'e': 0.19599999999999929}",20,7,5.6955344210150916,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.9, 'e': 0.19299999999999928}",20,15,7.318474647619555,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.9, 'e': 0.18999999999999928}",25,0,-3.5019253316927608,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
271,False,"{'a': 0.9, 'e': 0.18699999999999928}",20,9,18.893249196269604,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.9, 'e': 0.18399999999999928}",20,5,-42.862289824366236,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
273,False,"{'a': 0.9, 'e': 0.18099999999999927}",25,0,13.294284382328472,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
274,False,"{'a': 0.9, 'e': 0.17799999999999927}",20,13,-9.248062959550419,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
275,False,"{'a': 0.9, 'e': 0.17499999999999927}",20,9,6.981236558282051,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.9, 'e': 0.17199999999999926}",20,8,20.750303882988725,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.9, 'e': 0.16899999999999926}",20,0,-11.374917737314464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
278,False,"{'a': 0.9, 'e': 0.16599999999999926}",25,16,1.3630628417101116,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
279,False,"{'a': 0.9, 'e': 0.16299999999999926}",30,15,1.2300174417793266,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 0}",1
280,False,"{'a': 0.9, 'e': 0.15999999999999925}",20,0,33.281083089920735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
281,False,"{'a': 0.9, 'e': 0.15699999999999925}",20,16,6.36405488426201,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.9, 'e': 0.15399999999999925}",30,2,44.43176032794031,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.9, 'e': 0.15099999999999925}",25,0,-5.37424410214387,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
284,False,"{'a': 0.9, 'e': 0.14799999999999924}",25,9,28.822942463236178,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.9, 'e': 0.14499999999999924}",25,12,14.2054940313715,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.9, 'e': 0.14199999999999924}",20,0,29.696015509404816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.9, 'e': 0.13899999999999924}",20,4,19.250565615148435,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 0.13599999999999923}",25,12,15.363596601371666,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.9, 'e': 0.13299999999999923}",25,0,-8.65753183779745,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
290,False,"{'a': 0.9, 'e': 0.12999999999999923}",20,7,-29.073581786776995,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
291,False,"{'a': 0.9, 'e': 0.12699999999999922}",20,3,-2.0828693574173487,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
292,False,"{'a': 0.9, 'e': 0.12399999999999922}",25,10,28.605405526139783,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 0.9, 'e': 0.12099999999999922}",20,9,-10.834923826095205,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
294,False,"{'a': 0.9, 'e': 0.11799999999999922}",20,9,17.5086874323509,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.9, 'e': 0.11499999999999921}",20,10,-20.957086201178114,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
296,False,"{'a': 0.9, 'e': 0.11199999999999921}",25,13,14.183834695770965,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
297,False,"{'a': 0.9, 'e': 0.10899999999999921}",20,7,24.67767561560659,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.9, 'e': 0.1059999999999992}",35,7,-7.9107231325314045,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
299,False,"{'a': 0.9, 'e': 0.1029999999999992}",30,12,-10.917675672112523,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.9, 'e': 0.0999999999999992}",25,7,-15.106966375165186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 0.9, 'e': 0.0969999999999992}",30,19,15.264562394627667,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.9, 'e': 0.0939999999999992}",30,0,24.26580306958175,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
303,False,"{'a': 0.9, 'e': 0.09099999999999919}",30,1,3.21383585331601,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 1}",1
304,False,"{'a': 0.9, 'e': 0.08799999999999919}",25,0,-3.35320055988454,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
305,False,"{'a': 0.9, 'e': 0.08499999999999919}",20,0,19.23330753859743,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.9, 'e': 0.08199999999999918}",30,17,16.670420139101818,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
307,False,"{'a': 0.9, 'e': 0.07899999999999918}",25,7,30.943118752577146,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
308,False,"{'a': 0.9, 'e': 0.07599999999999918}",35,17,27.39323845095384,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.9, 'e': 0.07299999999999918}",25,0,13.558372479412162,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
310,False,"{'a': 0.9, 'e': 0.06999999999999917}",25,17,13.23280901160274,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.9, 'e': 0.06699999999999917}",25,15,19.830306718053826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.9, 'e': 0.06399999999999917}",25,14,20.18227519936887,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.9, 'e': 0.060999999999999166}",25,9,23.543137218189873,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.9, 'e': 0.05799999999999916}",25,2,29.887248558059007,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.9, 'e': 0.05499999999999916}",20,5,24.770174019317903,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.9, 'e': 0.05199999999999916}",25,14,17.262700649190826,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.9, 'e': 0.048999999999999155}",25,10,27.24630719075659,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,11.994728125431058,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,19,9.393350891249248,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,10,27.95944999159492,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,19,21.416659061633545,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,9,20.320453720628528,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,14,11.273107566426559,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,23,21.474936078106502,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,14,21.378665260208138,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,14.675958108926402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,15,7.819617912652747,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
